자전거보관소명	소재지도로명주소	소재지지번주소	위도	경도	보관대수	설치년도	설치형태	차양막설치여부	공기주입기비치여부	공기주입기유형	수리대설치여부	관리기관전화번호	관리기관명	데이터기준일자
어린이교통공원	경기도 수원시 영통구 덕영대로 1570	경기도 수원시 영통구 영통동 981-4	37.245396	127.062774	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
반달공원		경기도 수원시 영통구 영통동 1012-4	37.250933	127.07887	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
매화1공원		경기도 수원시 영통구 매탄동 1245	37.262595	127.047736	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
119호어린이공원	경기도 수원시 영통구 중부대로448번길 28	경기도 수원시 영통구 원천동 548	37.267138	127.058581	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
황골공원		경기도 수원시 영통구 영통동 948-2	37.266319	127.078593	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
살구골공원	경기도 수원시 영통구 매영로 366	경기도 수원시 영통구 영통동 989-2	37.250664	127.071687	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
12호어린이공원	경기도 수원시 영통구 봉영로1517번길 40	경기도 수원시 영통구 영통동 967-4	37.249899	127.066096	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
경희대 건너편 버스정류장		경기도 수원시 영통구 영통동 1024-17	37.247852	127.078452	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
정자2동 주민센터	경기도 수원시 장안구 송정로24번길 34	경기도 수원시 장안구 정자동 32-7	37.295078	127.000438	10				N		N	031-228-5607	수원시 정자2동주민센터	2019-10-02
영화동 주민센터	경기도 수원시 장안구 정조로 952	경기도 수원시 장안구 영화동 301-6	37.292435	127.011932	10				N		N	031-228-5628	수원시 영화동주민센터	2019-10-02
조원2동 주민센터	경기도 수원시 장안구 송원로 109-50	경기도 수원시 장안구 조원동 877	37.305616	127.009678	10				N		N	031-228-5733	수원시 조원2동주민센터	2019-10-02
수원시 상수도사업소	경기도 수원시 장안구 광교산로 119	경기도 수원시 장안구 하광교동 416-1	37.300221	127.027927	10				N		N	031-228-4265	수원시 상수도사업소	2019-10-02
북수원지식 정보도서관	경기도 수원시 장안구 만석로 65	경기도 수원시 장안구 정자동 869-1	37.297665	126.988306	9				N		N	031-228-4776	북수원지식 정보도서관	2019-10-02
수원SK아트리움	경기도 수원시 장안구 이목로 24-25	경기도 수원시 장안구 정자동 947	37.309576	126.986401	20				N		N	031-250-5300	수원SK아트리움	2019-10-02
수원시 시설관리공단	경기도 수원시 장안구 장안로 134	경기도 수원시 장안구 정자동 27-10	37.295681	126.999617	20				N		N	031-240-2824	수원시 시설관리공단	2019-10-02
도청사 버스정류장 앞	경기도 수원시 영통구 도청로 지하 45	경기도 수원시 영통구 이의동 1128	37.288258	127.051898	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
파장동 주민센터	경기도 수원시 장안구 파장천로 60	경기도 수원시 장안구 파장동 381	37.310321	126.997419	20				Y		N	031-228-5724	수원시 파장동주민센터	2019-10-02
수원교육청	경기도 수원시 장안구 경수대로 792	경기도 수원시 장안구 영화동 107-12	37.293234	127.019132	10				N		N	031-250-1335	수원교육청	2019-10-02
매탄고등학교	경기도 수원시 영통구 매탄로126번길 11	경기도 수원시 영통구 매탄동 1247	37.262628	127.044778	10				N		N	031-213-9385	매탄고등학교	2019-10-02
수원외국어고등학교	경기도 수원시 영통구 창룡대로 263	경기도 수원시 영통구 이의동 1088-23	37.295992	127.035116	10				N		N	031-258-9341	수원외국어고등학교	2019-10-02
동성중학교	경기도 수원시 팔달구 월드컵로 293	경기도 수원시 팔달구 우만동 533	37.284707	127.034962	10				N		N	031-245-1436	동성중학교	2019-10-02
수원제일중학교	경기도 수원시 팔달구 수성로244번길 37-52	경기도 수원시 팔달구 화서동 5	37.287134	127.000803	10				N		N	031-255-2953	수원제일중학교	2019-10-02
숙지중학교	경기도 수원시 팔달구 덕영대로735번길 23	경기도 수원시 팔달구 화서동 652	37.282427	126.992233	10				N		N	031-258-9682	숙지중학교	2019-10-02
정천중학교	경기도 수원시 팔달구 정자천로32번길 11	경기도 수원시 팔달구 화서동 708	37.2894	126.981992	10				N		N	031-292-4918	정천중학교	2019-10-02
삼일중학교	경기도 수원시 팔달구 수원천로 342	경기도 수원시 팔달구 매향동 10-22	37.284397	127.018512	10				N		N	031-255-3133	삼일중학교	2019-10-02
수원중학교	경기도 수원시 팔달구 정조로 666-10	경기도 수원시 팔달구 매교동 191	37.268168	127.018729	10				N		N	031-232-8215	수원중학교	2019-10-02
매향중학교	경기도 수원시 팔달구 수원천로 350	경기도 수원시 팔달구 매향동 110-2	37.284574	127.018621	10				N		N	031-259-0888	매향중학교	2019-10-02
호매실동주민센터	경기도 수원시 권선구 칠보로 161	경기도 수원시 권선구 호매실동 1367	37.266229	126.957046	10				N		N	031-228-6853	수원시 호매실동주민센터	2019-10-02
서둔동주민센터	경기도 수원시 권선구 서호로 146	경기도 수원시 권선구 서둔동 207-13	37.272601	126.986069	10				N		N	031-228-6726	수원시 서둔동주민센터	2019-10-02
권선2동주민센터	경기도 수원시 권선구 권중로 85	경기도 수원시 권선구 권선동 1268-2	37.251323	127.029712	10				N		N	031-228-6714	수원시 권선2동주민센터	2019-10-02
권선구보건소	경기도 수원시 권선구 호매실로 22-50	경기도 수원시 권선구 탑동 910	37.258744	126.971128	10				N		N	031-228-6716	권선보건소	2019-10-02
13호어린이공원		경기도 수원시 영통구 영통동 972-4	37.249239	127.060856	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
10호어린이공원	경기도 수원시 영통구 봉영로1517번길 27	경기도 수원시 영통구 영통동 970-3	37.248141	127.067158	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
원천공원(관터1길쪽)	경기도 수원시 영통구 동탄원천로1109번길 61	경기도 수원시 영통구 매탄동 1210	37.269616	127.055061	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
매여울공원	경기도 수원시 영통구 매탄로 82	경기도 수원시 영통구 매탄동 1274	37.258336	127.043003	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
수원종합운동장	경기도 수원시 장안구 경수대로 893	경기도 수원시 장안구 조원동 775	37.298611	127.007557	10				N		N	031-240-2700	수원종합운동장	2019-10-02
수원공업고등학교	경기도 수원시 팔달구 세지로 254	경기도 수원시 팔달구 인계동 249-1	37.274268	127.024521	10				N		N	031-8006-1200	수원공업고등학교	2019-10-02
성균관대역	경기도 수원시 장안구 서부로 2149	경기도 수원시 장안구 율전동 495-2	37.300185	126.972263	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
수원버스터미널	경기도 수원시 권선구 경수대로 270	경기도 수원시 권선구 권선동 1189	37.251375	127.020442	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
화서역	경기도 수원시 팔달구 덕영대로 692	경기도 수원시 팔달구 화서동 464	37.284892	126.989201	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
수원시청역	경기도 수원시 팔달구 효원로 282	경기도 수원시 팔달구 인계동 1125-1	37.260989	127.032268	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
영통역	경기도 수원시 영통구 영통로 498	경기도 수원시 영통구 영통동 955-1	37.263227	127.078541	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
홈플러스 북수원점	경기도 수원시 장안구 경수대로 930	경기도 수원시 장안구 조원동 896	37.302769	127.008811	10				N		N	031-259-8000	홈플러스 북수원점	2019-10-02
동성아울렛	경기도 수원시 장안구 정조로 941	경기도 수원시 장안구 영화동 308-1	37.291282	127.011909	10				N		N	031-244-9669	동성아울렛	2019-10-02
수원중부경찰서	경기도 수원시 장안구 정자천로 199	경기도 수원시 장안구 정자동 873-4	37.297932	126.996319	10				N		N	031-299-5324	수원중부경찰서	2019-10-02
수원시 체육회주변	경기도 수원시 장안구 정조로 998	경기도 수원시 장안구 조원동 680-1	37.296126	127.009281	10				N		N	031-228-3426	수원시청	2019-10-02
권선구청	경기도 수원시 권선구 호매실로 12	경기도 수원시 권선구 탑동 900	37.257634	126.9719	10				N		N	031-228-6274	수원시 권선구청	2019-10-02
세류1동주민센터	경기도 수원시 권선구 세류로38번길 10	경기도 수원시 권선구 세류동 223-2	37.262193	127.007982	10				N		N	031-228-6602	수원시 세류1동주민센터	2019-10-02
평동주민센터	경기도 수원시 권선구 평동로76번길 13	경기도 수원시 권선구 평동 35-6	37.258059	126.994171	10				N		N	031-228-6605	수원시 평동주민센터	2019-10-02
구운동주민센터	경기도 수원시 권선구 구운로47번길 57-33	경기도 수원시 권선구 구운동 965	37.277118	126.971468	10				N		N	031-228-6647	수원시 구운동주민센터	2019-10-02
경기개발연구원	경기도 수원시 장안구 경수대로 1150	경기도 수원시 장안구 파장동 184	37.315628	126.991065	10				N		N	031-250-3114	경기개발연구원	2019-10-02
권선1동주민센터	경기도 수원시 권선구 경수대로352번길 29	경기도 수원시 권선구 권선동 1034-5	37.257751	127.024606	10				N		N	031-228-6610	수원시 권선1동주민센터	2019-10-02
곡선동주민센터	경기도 수원시 권선구 동수원로146번길 174	경기도 수원시 권선구 곡반정동 525	37.243317	127.033329	10				N		N	031-228-6651	수원시 곡선동주민센터	2019-10-02
수원시농산물도매시장	경기도 수원시 권선구 세권로 243	경기도 수원시 권선구 권선동 1229	37.254898	127.030426	10				N		N	1899-1970	수원시농산물도매시장	2019-10-02
11호어린이공원		경기도 수원시 영통구 영통동 964-3	37.252967	127.064814	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
벽적공원		경기도 수원시 영통구 영통동 969-2	37.248618	127.061988	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
매여울생태공원	경기도 수원시 영통구 동탄원천로915번길 36	경기도 수원시 영통구 매탄동 1277	37.256981	127.043828	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
118호어린이공원	경기도 수원시 영통구 동탄원천로1109번길 92	경기도 수원시 영통구 매탄동 1200	37.271292	127.054723	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
선주리2호공원		경기도 수원시 영통구 매탄동 1283	37.255233	127.042316	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
선주리1호공원	경기도 수원시 영통구 동탄원천로881번길 35	경기도 수원시 영통구 매탄동 1282	37.255011	127.041504	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
선주리들공원	경기도 수원시 영통구 동탄원천로915번길 33	경기도 수원시 영통구 매탄동 1280	37.256047	127.043994	10				N		N	031-228-4194	수원시 공원녹지사업소	2019-10-02
영복여자중학교	경기도 수원시 팔달구 장안로7번길 49	경기도 수원시 팔달구 화서동 7-10	37.285033	127.003321	10				N		N	031-245-2514	영복여자중학교	2019-10-02
수원여자고등학교	경기도 수원시 팔달구 고등로59번길 72	경기도 수원시 팔달구 고등동 19-1	37.276837	127.004357	10				N		N	031-250-9142	수원여자고등학교	2019-10-02
숙지고등학교	경기도 수원시 팔달구 수성로182번길 100	경기도 수원시 팔달구 화서동 653	37.282968	126.993297	10				N		N	031-8065-3025	숙지고등학교	2019-10-02
율천고등학교	경기도 수원시 팔달구 일월로 50	경기도 수원시 팔달구 화서동 720	37.287828	126.978881	10				N		N	031-299-3900	율천고등학교	2019-10-02
삼일상업고등학교	경기도 수원시 팔달구 수원천로392번길 44-28	경기도 수원시 팔달구 매향동 10-22	37.286383	127.019681	10				N		N	031-8065-8800	삼일상업고등학교	2019-10-02
수원고등학교	경기도 수원시 팔달구 정조로 666-10	경기도 수원시 팔달구 매교동 191	37.268168	127.018729	10				N		N	031-300-3231	수원고등학교	2019-10-02
아름학교	경기도 수원시 영통구 광교로 32	경기도 수원시 영통구 이의동 1364	37.285711	127.039582	10				N		N	070-4423-9700	아름학교	2019-10-02
세류역	경기도 수원시 권선구 정조로 387	경기도 수원시 권선구 장지동 44-2	37.244251	127.014111	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
매탄권선역	경기도 수원시 영통구 동탄원천로881번길 19	경기도 수원시 영통구 매탄동 1285	37.253727	127.042293	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
서수원버스터미널	경기도 수원시 권선구 수인로 291	경기도 수원시 권선구 구운동 925	37.282629	126.970145	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
수원역	경기도 수원시 팔달구 덕영대로 924	경기도 수원시 팔달구 매산로1가 18	37.265679	127.000095	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
매교역	경기도 수원시 팔달구 정조로 635	경기도 수원시 팔달구 매교동 168-3	37.265364	127.015409	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
청명역	경기도 수원시 영통구 영통로 460	경기도 수원시 영통구 영통동 956-2	37.260143	127.075881	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
망포역	경기도 수원시 영통구 덕영대로 1529	경기도 수원시 영통구 영통동 976-5	37.246241	127.058257	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
롯데마트 천천점	경기도 수원시 장안구 만석로19번길 25-10	경기도 수원시 장안구 천천동 526	37.296129	126.982401	10				N		N	031-240-2500	롯데마트 천천점	2019-10-02
이마트 수원점	경기도 수원시 권선구 경수대로 270	경기도 수원시 권선구 권선동 1189	37.251375	127.020442	10				N		N	031-207-1234	이마트 수원점	2019-10-02
이마트 서수원점	경기도 수원시 권선구 수인로 291	경기도 수원시 권선구 구운동 925	37.282629	126.970145	10				N		N	031-895-1234	이마트 서수원점	2019-10-02
홈플러스 서수원점	경기도 수원시 권선구 금곡로 236	경기도 수원시 권선구 금곡동 1116	37.274407	126.955914	10				N		N	031-8019-1000	홈플러스 서수원점	2019-10-02
롯데몰	경기도 수원시 권선구 세화로 134	경기도 수원시 권선구 서둔동 296-77 롯데몰수원	37.264179	126.997294	10				N		N	031-8067-4000	롯데몰 수원점	2019-10-02
하나로클럽 수원점	경기도 수원시 권선구 서부로 1937	경기도 수원시 권선구 구운동 218-1	37.283003	126.967258	10				N		N	031-299-9000	하나로클럽 수원점	2019-10-02
롯데마트 권선점	경기도 수원시 권선구 동수원로 232	경기도 수원시 권선구 권선동 1296-5	37.250258	127.034689	10				N		N	031-229-7700	롯데마트 권선점	2019-10-02
정자3동 874-1	경기도 수원시 장안구 대평로90번길 46	경기도 수원시 장안구 정자동 874-1	37.296927	126.995254	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
정자3동 877-5		경기도 수원시 장안구 정자동 877-8	37.295622	126.993283	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
파장동575번지 주변	경기도 수원시 장안구 경수대로 1099	경기도 수원시 장안구 파장동 575	37.310006	126.992235	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
천천동 570번지	경기도 수원시 장안구 정자로19번길 13	경기도 수원시 장안구 천천동 570	37.300958	126.978173	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
구운동 웃거리사거리		경기도 수원시 권선구 구운동 507	37.277031	126.978283	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
세류동1151-10	경기도 수원시 권선구 경수대로 219	경기도 수원시 권선구 세류동 1151-10	37.246961	127.017236	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
서둔동 17-77(서둔파출소)	경기도 수원시 권선구 서호동로 48	경기도 수원시 권선구 서둔동 17-77	37.268944	126.993384	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
홈플러스 원천점	경기도 수원시 영통구 중부대로 437	경기도 수원시 영통구 원천동 177-1	37.270066	127.063615	10				N		N	031-252-2080	홈플러스 원천점	2019-10-02
황구지천 자전거길(하천)	경기도 수원시 권선구 서수원로 130	경기도 수원시 권선구 오목천동 677	37.239387	126.972821	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
권선동 태양프라자 앞	경기도 수원시 권선구 동수원로242번길 20	경기도 수원시 권선구 권선동 1297-5	37.250413	127.035587	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
팔달문 농협 앞	경기도 수원시 팔달구 정조로 762	경기도 수원시 팔달구 팔달로3가 29-4	37.275906	127.016931	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
팔달문 고객지원센터 앞	경기도 수원시 팔달구 정조로712번길 5	경기도 수원시 팔달구 중동 147-1	37.271909	127.017079	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
중동사거리주변	경기도 수원시 팔달구 정조로712번길 5	경기도 수원시 팔달구 중동 147-1	37.271909	127.017079	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
팔달문 안내센터 앞	경기도 수원시 팔달구 정조로777번길 16	경기도 수원시 팔달구 남창동 148-8	37.277546	127.015398	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
원천동18-6번지	경기도 수원시 영통구 아주로 36	경기도 수원시 영통구 원천동 18-13	37.278036	127.044111	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
영통동960-1번지	경기도 수원시 영통구 봉영로 1579	경기도 수원시 영통구 영통동 960-1	37.252743	127.071662	10				N		N	031-228-8966	수원시 영통구청	2019-10-02
수원월드컵경기장	경기도 수원시 팔달구 월드컵로 310	경기도 수원시 팔달구 우만동 228	37.287248	127.035013	10				N		N	031-202-2002	수원월드컵경기장	2019-10-02
가톨릭대성빈센트병원	경기도 수원시 팔달구 중부대로 93	경기도 수원시 팔달구 지동 93-6	37.277922	127.027449	10				N		N	1577-8588	성빈센트병원	2019-10-02
KBS 수원센터	경기도 수원시 팔달구 인계로 123	경기도 수원시 팔달구 인계동 468	37.267938	127.030666	10				N		N	031-219-8081	KBS수원센터	2019-10-02
아주대학병원	경기도 수원시 영통구 월드컵로 164	경기도 수원시 영통구 원천동 산 26-6	37.279448	127.047521	10				N		N	1688-6114	아주대병원	2019-10-02
정자3동 876-8	경기도 수원시 장안구 대평로90번길 16	경기도 수원시 장안구 정자동 876-8	37.296328	126.993725	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
정자3동 877-4	경기도 수원시 장안구 대평로 80	경기도 수원시 장안구 정자동 877-4	37.295535	126.993621	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
정자3동 877-3	경기도 수원시 장안구 대평로 86	경기도 수원시 장안구 정자동 877-1	37.295993	126.993283	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
연무동(반딧불이) 402	경기도 수원시 장안구 광교산로 172	경기도 수원시 장안구 하광교동 402-1	37.302444	127.032214	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
천천동528-3	경기도 수원시 장안구 만석로19번길 11-7	경기도 수원시 장안구 천천동 528-3	37.295495	126.983431	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
이목지하보도 일원	경기도 수원시 장안구 장안로 415	경기도 수원시 장안구 이목동 260-7	37.316691	126.982171	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
광교산 느티나무 일원		경기도 수원시 장안구 하광교동 460-1	37.318338	127.016228	10				N		N	031-228-5492	수원시 장안구청	2019-10-02
세류동 537-3	경기도 수원시 권선구 정조로 520	경기도 수원시 권선구 세류동 537-3	37.255539	127.011502	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
경인지방우정청	경기도 수원시 권선구 호매실로 22-55	경기도 수원시 권선구 탑동 909	37.258275	126.970101	10				N		N	031-8014-3229	경인지방우정청	2019-10-02
"곡반정동 88,89"	경기도 수원시 권선구 덕영대로1368번길 2	경기도 수원시 권선구 곡반정동 89-2	37.244588	127.038708	10				N		N	031-228-6409	수원시 권선구청	2019-10-02
갤러리아백화점	경기도 수원시 팔달구 효원로 282	경기도 수원시 팔달구 인계동 1125-1	37.260989	127.032268	10				N		N	031-229-7114	갤러리아백화점 수원점	2019-10-02
영동시장	경기도 수원시 팔달구 팔달문로 9	경기도 수원시 팔달구 팔달로2가 48-1	37.277751	127.018474	10				N		N	031-228-7499	수원시 팔달구청	2019-10-02
홈플러스 영통점	경기도 수원시 영통구 봉영로 1576	경기도 수원시 영통구 영통동 994-2	37.251816	127.072604	10				N		N	031-201-8000	홈플러스 영통점	2019-10-02
이마트트레이더스	경기도 수원시 영통구 삼성로2	경기도 수원시 영통구 신동 941	37.246073	127.048596	10				N		N	031-8005-1234	이마트트레이더스	2019-10-02
롯데마트 영통점	경기도 수원시 영통구 봉영로 1579	경기도 수원시 영통구 영통동 960-1	37.252743	127.071662	10				N		N	031-290-4000	롯데마트 영통점	2019-10-02
홈플러스 동수원점	경기도 수원시 팔달구 효원로 257	경기도 수원시 팔달구 인계동 1045	37.262755	127.030132	10				N		N	031-231-8000	홈플러스 동수원점	2019-10-02
